year;country;cid;cat
2007;;zg697;news
2007;;zg696;popular
2008;;zg747;concerts
2011;;zg773;entertainment
2011;;zg423;entertainment
2012;;zg405;music_artists
2012;;zg400;events
2013;;zg395;music_artists
2015;;b58acad1-c002-479a-b295-497a15040e76;music_artists
2016;;e56e4c31-7aa3-4f37-83bb-4ea09cff1023;music_artists
2016;;f5e5de38-e7e0-4158-ba34-afb9d5e00ec6;popular
2016;;694ba116-e7e5-49bd-8f5b-f9d340eab102;news
2016;;0d17c934-b5ab-4782-978f-1535240dadf0;tech
2015;;b460a8b3-c2a8-4170-9534-7a2baae37853;popular
2015;;c5a336bc-72be-48ff-a246-6ebb223c9e7a;news
2015;;bcecc8a9-a934-401c-8295-d86890f3f480;tech
2014;;9d575544-fc48-4456-8c50-5e33977fca43;tech
2014;;77265a57-c8cb-4cfe-9a61-60369c7b003a;news
2014;;61685d24-b18e-46f3-8a2a-6fd3cab6b1a4;popular
2013;;zgWW1;popular
2013;;zg393;tech
2013;;zgWW3;events
2012;;zg406;popular
2012;;zg399;tech
2012;;zg400;tech
2011;;zg417;popular
2010;;zg429;popular
2009;;zg779;popular
2008;;zg749;popular